# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1415.467217941951048,0.00501,0.00082,0.00058,0.00006,0.00080,0.00297,0.01024
1415.500386316951108,0.01192,0.00040,0.00048,0.00003,0.00055,0.00218,0.01555
1415.533561212951099,0.00641,0.00036,0.00012,0.00003,0.00050,0.00245,0.00987
1415.566732232951153,0.00884,0.00079,0.00041,0.00006,0.00000,0.00351,0.01362
1415.599906076951129,0.00673,0.00094,0.00099,0.00007,0.00157,0.00335,0.01366
1415.633086076951031,0.00695,0.00046,0.00007,0.00004,0.00073,0.00339,0.01164
1415.666251076951085,0.00875,0.00073,0.00040,0.00005,0.00061,0.00255,0.01310
1415.699422076951123,0.00749,0.00033,0.00010,0.00003,0.00000,0.00226,0.01021
1415.732594180951082,0.00691,0.00040,0.00016,0.00004,0.00059,0.00188,0.00997
1415.765770232951127,0.00689,0.00036,0.00060,0.00003,0.00051,0.00220,0.01059
1415.798941337950964,0.00695,0.00064,0.00021,0.00005,0.00077,0.00425,0.01288
1415.832117180950945,0.00627,0.00050,0.00240,0.00004,0.00124,0.00475,0.01521
1415.865287128950968,0.00624,0.00033,0.00004,0.00003,0.00026,0.00229,0.00919
1415.898460336951075,0.00749,0.00058,0.00103,0.00005,0.00129,0.00228,0.01271
1415.931632389951119,0.00686,0.00047,0.00030,0.00003,0.00070,0.00273,0.01109
1415.964807232950989,0.00941,0.00027,0.00058,0.00002,0.00045,0.00166,0.01240
1415.997983472951091,0.00817,0.00073,0.00033,0.00005,0.00067,0.00211,0.01206
1416.031154368951093,0.00646,0.00062,0.00060,0.00003,0.00062,0.00217,0.01051
1416.064324076951152,0.00634,0.00062,0.00019,0.00004,0.00051,0.00163,0.00932
1416.130671337951071,0.00554,0.00056,0.00015,0.00003,0.00000,0.00227,0.00857
1416.163861024951075,0.00597,0.00040,0.00038,0.00003,0.00069,0.00271,0.01020
1416.197018024951149,0.00712,0.00064,0.00016,0.00005,0.00076,0.00418,0.01291
1416.230192076950971,0.00639,0.00035,0.00025,0.00003,0.00059,0.00233,0.00993
1416.263362128951030,0.00557,0.00034,0.00011,0.00003,0.00000,0.00220,0.00824
1416.296536076951043,0.00616,0.00034,0.00009,0.00002,0.00055,0.00249,0.00964
